sceneId,sceneType,sectionFromVisualAssetFolder,proposal,reviewReasons,mediaEvidence,authoredActions
0,3,unassigned,exclude-system-intro-credits,,"[{""kind"":""MovieSpecialCast"",""actionAtEnd"":0,""angleAtEnd"":-1,""castId"":-1,""comparators"":[],""dissolveToNextScene"":false,""endFrame"":-1,""fileName"":""GameDB/All/topSTL"",""initiallyEnabled"":true,""location"":{""x"":0,""y"":-40},""looping"":false,""nextSceneId"":0,""scale"":1,""startFrame"":0,""image"":true,""width"":640,""height"":40},{""kind"":""MovieSpecialCast"",""actionAtEnd"":0,""angleAtEnd"":-1,""castId"":-2,""comparators"":[],""dissolveToNextScene"":false,""endFrame"":-1,""fileName"":""GameDB/All/bottomSTL"",""initiallyEnabled"":true,""location"":{""x"":0,""y"":400},""looping"":false,""nextSceneId"":0,""scale"":1,""startFrame"":0,""image"":true,""width"":640,""height"":40}]","[{""castId"":0,""comparators"":[{""gameStateId"":100,""testType"":0,""value"":0}],""cursorShapeWhenActive"":10002,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":100100,""param2"":100100,""param3"":-1,""rectBottom"":440,""rectLeft"":300,""rectRight"":340,""rectTop"":400,""type"":1},{""castId"":0,""comparators"":[{""gameStateId"":100,""testType"":0,""value"":1}],""cursorShapeWhenActive"":10005,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":0,""param2"":0,""param3"":-1,""rectBottom"":440,""rectLeft"":300,""rectRight"":340,""rectTop"":400,""type"":13},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10002,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":100200,""param2"":100200,""param3"":-1,""rectBottom"":0,""rectLeft"":260,""rectRight"":380,""rectTop"":-40,""type"":1}]"
1010,1,ship,existing-panorama,,"[{""kind"":""PanoCast"",""castId"":1010,""comparators"":[],""fileName"":""GameDB/Deck1/balcNWPAN"",""initiallyEnabled"":true}]","[{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10001,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":101004,""param2"":2270,""param3"":-1,""rectBottom"":250,""rectLeft"":1324,""rectRight"":1660,""rectTop"":-250,""type"":0},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10001,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":101001,""param2"":1020,""param3"":-1,""rectBottom"":250,""rectLeft"":3162,""rectRight"":3362,""rectTop"":-250,""type"":0},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10003,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":101050,""param2"":101050,""param3"":-1,""rectBottom"":152,""rectLeft"":2309,""rectRight"":2431,""rectTop"":20,""type"":0},{""castId"":0,""comparators"":[{""gameStateId"":860,""testType"":0,""value"":0},{""gameStateId"":862,""testType"":0,""value"":0},{""gameStateId"":861,""testType"":0,""value"":0},{""gameStateId"":863,""testType"":0,""value"":0}],""cursorShapeWhenActive"":10012,""defaultPass"":false,""gesture"":5,""initiallyEnabled"":false,""param1"":0,""param2"":0,""param3"":-1,""rectBottom"":0,""rectLeft"":0,""rectRight"":0,""rectTop"":0,""type"":0}]"
1020,1,ship,existing-panorama,,"[{""kind"":""PanoCast"",""castId"":1020,""comparators"":[],""fileName"":""GameDB/Deck1/balcSWPAN"",""initiallyEnabled"":true}]","[{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10001,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":102002,""param2"":1010,""param3"":-1,""rectBottom"":250,""rectLeft"":1324,""rectRight"":1660,""rectTop"":-250,""type"":0},{""castId"":0,""comparators"":[{""gameStateId"":860,""testType"":0,""value"":0},{""gameStateId"":862,""testType"":0,""value"":0},{""gameStateId"":861,""testType"":0,""value"":0},{""gameStateId"":863,""testType"":0,""value"":0}],""cursorShapeWhenActive"":10012,""defaultPass"":false,""gesture"":5,""initiallyEnabled"":false,""param1"":0,""param2"":0,""param3"":-1,""rectBottom"":0,""rectLeft"":0,""rectRight"":0,""rectTop"":0,""type"":0}]"
1030,1,ship,existing-panorama,,"[{""kind"":""PanoCast"",""castId"":1030,""comparators"":[],""fileName"":""GameDB/Deck1/balcNEPAN"",""initiallyEnabled"":true}]","[{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10001,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":103003,""param2"":2270,""param3"":-1,""rectBottom"":250,""rectLeft"":1324,""rectRight"":1660,""rectTop"":-250,""type"":0},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10001,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":103001,""param2"":1040,""param3"":-1,""rectBottom"":250,""rectLeft"":3175,""rectRight"":3463,""rectTop"":-250,""type"":0},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10003,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":103050,""param2"":103050,""param3"":-1,""rectBottom"":208,""rectLeft"":576,""rectRight"":712,""rectTop"":36,""type"":0},{""castId"":0,""comparators"":[{""gameStateId"":860,""testType"":0,""value"":0},{""gameStateId"":862,""testType"":0,""value"":0},{""gameStateId"":861,""testType"":0,""value"":0},{""gameStateId"":863,""testType"":0,""value"":0}],""cursorShapeWhenActive"":10012,""defaultPass"":false,""gesture"":5,""initiallyEnabled"":false,""param1"":0,""param2"":0,""param3"":-1,""rectBottom"":0,""rectLeft"":0,""rectRight"":0,""rectTop"":0,""type"":0}]"
1040,1,ship,existing-panorama,,"[{""kind"":""PanoCast"",""castId"":1040,""comparators"":[],""fileName"":""GameDB/Deck1/balcSEPAN"",""initiallyEnabled"":true}]","[{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10001,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":104002,""param2"":1030,""param3"":-1,""rectBottom"":250,""rectLeft"":1324,""rectRight"":1660,""rectTop"":-250,""type"":0},{""castId"":0,""comparators"":[{""gameStateId"":860,""testType"":0,""value"":0},{""gameStateId"":862,""testType"":0,""value"":0},{""gameStateId"":861,""testType"":0,""value"":0},{""gameStateId"":863,""testType"":0,""value"":0}],""cursorShapeWhenActive"":10012,""defaultPass"":false,""gesture"":5,""initiallyEnabled"":false,""param1"":0,""param2"":0,""param3"":-1,""rectBottom"":0,""rectLeft"":0,""rectRight"":0,""rectTop"":0,""type"":0}]"
1050,1,ship,existing-panorama,,"[{""kind"":""PanoCast"",""castId"":1050,""comparators"":[],""fileName"":""GameDB/Deck1/flybrdgPAN"",""initiallyEnabled"":true}]","[{""castId"":0,""comparators"":[{""gameStateId"":552,""testType"":0,""value"":1}],""cursorShapeWhenActive"":10001,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":105001,""param2"":2040,""param3"":1500,""rectBottom"":250,""rectLeft"":2295,""rectRight"":2541,""rectTop"":-250,""type"":0},{""castId"":0,""comparators"":[{""gameStateId"":552,""testType"":0,""value"":0}],""cursorShapeWhenActive"":10001,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":105101,""param2"":2040,""param3"":-1,""rectBottom"":250,""rectLeft"":2295,""rectRight"":2541,""rectTop"":-250,""type"":0},{""castId"":0,""comparators"":[{""gameStateId"":550,""testType"":0,""value"":0}],""cursorShapeWhenActive"":10003,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":105049,""param2"":105049,""param3"":-1,""rectBottom"":139,""rectLeft"":887,""rectRight"":1129,""rectTop"":-65,""type"":0},{""castId"":0,""comparators"":[{""gameStateId"":551,""testType"":0,""value"":1}],""cursorShapeWhenActive"":10003,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":105049,""param2"":105049,""param3"":-1,""rectBottom"":139,""rectLeft"":887,""rectRight"":1129,""rectTop"":-65,""type"":0},{""castId"":0,""comparators"":[{""gameStateId"":550,""testType"":0,""value"":1}],""cursorShapeWhenActive"":10003,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":105050,""param2"":105050,""param3"":-1,""rectBottom"":139,""rectLeft"":887,""rectRight"":1129,""rectTop"":-65,""type"":0},{""castId"":0,""comparators"":[{""gameStateId"":500,""testType"":0,""value"":0}],""cursorShapeWhenActive"":10003,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":105051,""param2"":105051,""param3"":-1,""rectBottom"":97,""rectLeft"":1858,""rectRight"":2132,""rectTop"":-97,""type"":0},{""castId"":0,""comparators"":[{""gameStateId"":500,""testType"":0,""value"":1}],""cursorShapeWhenActive"":10003,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":105053,""param2"":105053,""param3"":-1,""rectBottom"":97,""rectLeft"":1858,""rectRight"":2132,""rectTop"":-97,""type"":0},{""castId"":0,""comparators"":[{""gameStateId"":860,""testType"":0,""value"":0},{""gameStateId"":862,""testType"":0,""value"":0},{""gameStateId"":861,""testType"":0,""value"":0},{""gameStateId"":863,""testType"":0,""value"":0}],""cursorShapeWhenActive"":10012,""defaultPass"":false,""gesture"":5,""initiallyEnabled"":false,""param1"":0,""param2"":0,""param3"":-1,""rectBottom"":0,""rectLeft"":0,""rectRight"":0,""rectTop"":0,""type"":0}]"
1110,1,ship,existing-panorama,,"[{""kind"":""PanoCast"",""castId"":1110,""comparators"":[],""fileName"":""GameDB/Deck1/uprEmidkPAN"",""initiallyEnabled"":true}]","[{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10001,""defaultPass"":true,""gesture"":2,""initiallyEnabled"":true,""param1"":805,""param2"":2,""param3"":-1,""rectBottom"":250,""rectLeft"":3168,""rectRight"":3403,""rectTop"":-250,""type"":9},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10001,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":111001,""param2"":2310,""param3"":-1,""rectBottom"":250,""rectLeft"":3168,""rectRight"":3403,""rectTop"":-250,""type"":0},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10001,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":111002,""param2"":1210,""param3"":-1,""rectBottom"":250,""rectLeft"":1420,""rectRight"":1680,""rectTop"":-250,""type"":0},{""castId"":0,""comparators"":[{""gameStateId"":860,""testType"":0,""value"":0},{""gameStateId"":862,""testType"":0,""value"":0},{""gameStateId"":861,""testType"":0,""value"":0},{""gameStateId"":863,""testType"":0,""value"":0}],""cursorShapeWhenActive"":10012,""defaultPass"":false,""gesture"":5,""initiallyEnabled"":false,""param1"":0,""param2"":0,""param3"":-1,""rectBottom"":0,""rectLeft"":0,""rectRight"":0,""rectTop"":0,""type"":0}]"
1120,1,ship,existing-panorama,,"[{""kind"":""PanoCast"",""castId"":1120,""comparators"":[],""fileName"":""GameDB/Deck1/lngelevPAN"",""initiallyEnabled"":true},{""kind"":""MovieSpecialCast"",""actionAtEnd"":0,""angleAtEnd"":-1,""castId"":112051,""comparators"":[{""gameStateId"":498,""testType"":0,""value"":1}],""dissolveToNextScene"":false,""endFrame"":-1,""fileName"":""GameDB/Deck1/strangeNar"",""initiallyEnabled"":true,""location"":{""x"":0,""y"":0},""looping"":false,""nextSceneId"":0,""scale"":2,""startFrame"":0,""audioOnly"":true}]","[{""castId"":0,""comparators"":[{""gameStateId"":498,""testType"":0,""value"":1}],""cursorShapeWhenActive"":0,""defaultPass"":true,""gesture"":2,""initiallyEnabled"":true,""param1"":498,""param2"":2,""param3"":2,""rectBottom"":0,""rectLeft"":0,""rectRight"":0,""rectTop"":0,""type"":9},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10003,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":112040,""param2"":112040,""param3"":-1,""rectBottom"":98,""rectLeft"":1954,""rectRight"":2223,""rectTop"":-74,""type"":0},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10001,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":112001,""param2"":6001,""param3"":-1,""rectBottom"":250,""rectLeft"":3175,""rectRight"":3441,""rectTop"":-250,""type"":0},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10001,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":112002,""param2"":1230,""param3"":-1,""rectBottom"":250,""rectLeft"":1393,""rectRight"":1619,""rectTop"":-250,""type"":0},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10003,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":112050,""param2"":112050,""param3"":-1,""rectBottom"":107,""rectLeft"":752,""rectRight"":1027,""rectTop"":-192,""type"":0},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10003,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":112060,""param2"":112060,""param3"":-1,""rectBottom"":118,""rectLeft"":2332,""rectRight"":2591,""rectTop"":-49,""type"":1},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10003,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":112060,""param2"":112060,""param3"":-1,""rectBottom"":107,""rectLeft"":397,""rectRight"":485,""rectTop"":44,""type"":1},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10001,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":112003,""param2"":1130,""param3"":-1,""rectBottom"":250,""rectLeft"":10,""rectRight"":315,""rectTop"":-250,""type"":0},{""castId"":0,""comparators"":[{""gameStateId"":860,""testType"":0,""value"":0},{""gameStateId"":862,""testType"":0,""value"":0},{""gameStateId"":861,""testType"":0,""value"":0},{""gameStateId"":863,""testType"":0,""value"":0}],""cursorShapeWhenActive"":10012,""defaultPass"":false,""gesture"":5,""initiallyEnabled"":false,""param1"":0,""param2"":0,""param3"":-1,""rectBottom"":0,""rectLeft"":0,""rectRight"":0,""rectTop"":0,""type"":0}]"
1130,1,ship,existing-panorama,,"[{""kind"":""PanoCast"",""castId"":1130,""comparators"":[],""fileName"":""GameDB/Deck1/lngmontyPAN"",""initiallyEnabled"":true},{""kind"":""MovieSpecialCast"",""actionAtEnd"":0,""angleAtEnd"":-1,""castId"":112051,""comparators"":[{""gameStateId"":498,""testType"":0,""value"":1}],""dissolveToNextScene"":false,""endFrame"":-1,""fileName"":""GameDB/Deck1/strangeNar"",""initiallyEnabled"":true,""location"":{""x"":0,""y"":0},""looping"":false,""nextSceneId"":0,""scale"":2,""startFrame"":0,""audioOnly"":true}]","[{""castId"":0,""comparators"":[{""gameStateId"":498,""testType"":0,""value"":1}],""cursorShapeWhenActive"":0,""defaultPass"":true,""gesture"":2,""initiallyEnabled"":true,""param1"":498,""param2"":2,""param3"":2,""rectBottom"":0,""rectLeft"":0,""rectRight"":0,""rectTop"":0,""type"":9},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10003,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":113050,""param2"":113050,""param3"":-1,""rectBottom"":188,""rectLeft"":2803,""rectRight"":3224,""rectTop"":-74,""type"":1},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10003,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":112060,""param2"":112060,""param3"":-1,""rectBottom"":116,""rectLeft"":1744,""rectRight"":2006,""rectTop"":-17,""type"":1},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10003,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":112060,""param2"":112060,""param3"":-1,""rectBottom"":137,""rectLeft"":619,""rectRight"":718,""rectTop"":66,""type"":1},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10001,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":113004,""param2"":1120,""param3"":-1,""rectBottom"":250,""rectLeft"":2000,""rectRight"":2253,""rectTop"":-250,""type"":0},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10003,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":112050,""param2"":112050,""param3"":-1,""rectBottom"":107,""rectLeft"":1147,""rectRight"":1425,""rectTop"":-178,""type"":0},{""castId"":0,""comparators"":[{""gameStateId"":860,""testType"":0,""value"":0},{""gameStateId"":862,""testType"":0,""value"":0},{""gameStateId"":861,""testType"":0,""value"":0},{""gameStateId"":863,""testType"":0,""value"":0}],""cursorShapeWhenActive"":10012,""defaultPass"":false,""gesture"":5,""initiallyEnabled"":false,""param1"":0,""param2"":0,""param3"":-1,""rectBottom"":0,""rectLeft"":0,""rectRight"":0,""rectTop"":0,""type"":0}]"
1150,1,ship,existing-panorama,,"[{""kind"":""PanoCast"",""castId"":1150,""comparators"":[],""fileName"":""GameDB/Deck1/uprWmidkPAN"",""initiallyEnabled"":true}]","[{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10001,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":115002,""param2"":1350,""param3"":-1,""rectBottom"":250,""rectLeft"":1324,""rectRight"":1660,""rectTop"":-250,""type"":0},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":0,""defaultPass"":true,""gesture"":2,""initiallyEnabled"":true,""param1"":805,""param2"":2,""param3"":-1,""rectBottom"":250,""rectLeft"":3157,""rectRight"":3536,""rectTop"":-250,""type"":9},{""castId"":0,""comparators"":[],""cursorShapeWhenActive"":10001,""defaultPass"":false,""gesture"":2,""initiallyEnabled"":true,""param1"":115001,""param2"":2380,""param3"":-1,""rectBottom"":250,""rectLeft"":3157,""rectRight"":3536,""rectTop"":-250,""type"":0},{""castId"":0,""comparators"":[{""gameStateId"":860,""testType"":0,""value"":0},{""gameStateId"":862,""testType"":0,""value"":0},{""gameStateId"":861,""testType"":0,""value"":0},{""gameStateId"":863,""testType"":0,""value"":0}],""cursorShapeWhenActive"":10012,""defaultPass"":false,""gesture"":5,""initiallyEnabled"":false,""param1"":0,""param2"":0,""param3"":-1,""rectBottom"":0,""rectLeft"":0,""rectRight"":0,""rectTop"":0,""type"":0}]"
